,,,,,timestamp,ship_status,vendor,vendor_site,product_webpage,delivery_type,product_description,product_model,product_id,delivary_status,code,currency,price,tax_rate,shipping_charges,notes,city,state,zip_code,country_code
26,3/27/2018 0:00,114-1359564-6052209,114-1359564-6052209,20180323,2018-03-24T06:33:38+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,2,USD,19.98,NULL,NULL,NULL,STATE COLLEGE,PA,16801-4545,US
27,3/27/2018 0:00,113-3258682-2879408,113-3258682-2879408,20180322,2018-03-23T08:24:28+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,WAUPUN,WI,53963-2135,US
28,3/27/2018 0:00,111-0808932-8149014,111-0808932-8149014,20180322,2018-03-23T16:22:26+00:00,Cancelled,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Cancelled,0,NULL,NULL,NULL,NULL,NULL,JOHNSON CITY,NY,13790-4016,US
29,3/27/2018 0:00,112-2844920-8109844,112-2844920-8109844,20180322,2018-03-23T06:16:02+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,ENCINITAS,CA,92024-5229,US
30,3/27/2018 0:00,111-4191506-3436257,111-4191506-3436257,20180322,2018-03-23T22:09:27+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Shipped,1,USD,9.99,NULL,NULL,NULL,WENDELL,NC,27591-9557,US
31,3/27/2018 0:00,112-1420189-8525857,112-1420189-8525857,20180322,2018-03-23T22:15:00+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17TFDH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Tiffany Blue,Majide-Juul-Tiffany-Blue,B07B17TFDH,Shipped,1,USD,9.99,NULL,NULL,NULL,LYNCHBURG,VA,24503-4788,US
32,3/27/2018 0:00,113-4526568-6131446,113-4526568-6131446,20180322,2018-03-22T22:36:35+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17JJZR,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Orange,Majide-Juul-Orange,B07B17JJZR,Shipped,1,USD,9.99,NULL,NULL,NULL,BILLINGS,MT,59102-0829,US
33,3/27/2018 0:00,113-5193039-6221047,113-5193039-6221047,20180322,2018-03-23T10:26:37+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1L7YSW,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Blue,Majide-Juul-Blue,B07B1L7YSW,Shipped,1,USD,9.99,NULL,NULL,NULL,LEESVILLE,LA,71446-6573,US
34,3/27/2018 0:00,113-2474391-4261019,113-2474391-4261019,20180322,2018-03-23T09:08:18+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KTYV3,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Red,Majide-Juul-Red,B07B1KTYV3,Shipped,1,USD,9.99,NULL,NULL,NULL,SPARTANBURG,SC,29301-1115,US
35,3/27/2018 0:00,112-9135345-5070649,112-9135345-5070649,20180322,2018-03-22T12:49:48+00:00,Cancelled,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Cancelled,0,NULL,NULL,NULL,NULL,NULL,Jamaica,Ny,11435,US
36,3/27/2018 0:00,111-0743639-7141052,111-0743639-7141052,20180322,2018-03-24T10:06:00+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KWQH2,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - White,Majide-Juul-Pure-White,B07B1KWQH2,Shipped,1,USD,9.99,NULL,NULL,NULL,LA CROSSE,WI,54601-4609,US
37,3/27/2018 0:00,113-7456385-7897054,113-7456385-7897054,20180322,2018-03-23T15:56:28+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Shipped,1,USD,9.99,NULL,NULL,NULL,SOUTH SETAUKET,NY,11720-4503,US
38,3/27/2018 0:00,112-2932353-6774651,112-2932353-6774651,20180322,2018-03-24T04:19:05+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17TFDH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Tiffany Blue,Majide-Juul-Tiffany-Blue,B07B17TFDH,Shipped,1,USD,9.99,NULL,NULL,NULL,PALISADES PARK,NJ,07650-1506,US
39,3/27/2018 0:00,112-2932353-6774651,112-2932353-6774651,20180322,2018-03-24T04:19:05+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Shipped,1,USD,9.99,NULL,NULL,NULL,PALISADES PARK,NJ,07650-1506,US
40,3/27/2018 0:00,114-4625039-4979447,114-4625039-4979447,20180322,2018-03-23T23:51:20+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Shipped,3,USD,29.97,NULL,NULL,NULL,RIDGEFIELD,NJ,07657-2354,US
41,3/27/2018 0:00,112-0089640-6849823,112-0089640-6849823,20180322,2018-03-23T06:41:09+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KWQH2,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - White,Majide-Juul-Pure-White,B07B1KWQH2,Shipped,1,USD,9.99,NULL,NULL,NULL,RANDOLPH,NJ,07869-3334,US
42,3/27/2018 0:00,114-5921182-9084227,114-5921182-9084227,20180322,2018-03-22T18:28:55+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1L7YSW,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Blue,Majide-Juul-Blue,B07B1L7YSW,Shipped,1,USD,9.99,NULL,NULL,NULL,MIAMI,FL,33149-2167,US
43,3/27/2018 0:00,112-9411869-6467435,112-9411869-6467435,20180322,2018-03-22T19:22:00+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Shipped,1,USD,9.99,NULL,NULL,NULL,ARCADIA,CA,91007-7430,US
44,3/27/2018 0:00,114-5641517-7302608,114-5641517-7302608,20180322,2018-03-24T02:02:41+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,NORRISTOWN,PA,19401,US
45,3/27/2018 0:00,111-2469627-1097854,111-2469627-1097854,20180321,2018-03-22T21:57:22+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17ZRJ1,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Yellow,Majide-Juul-Yellow,B07B17ZRJ1,Shipped,1,USD,9.99,NULL,NULL,NULL,Haledon,NJ,7508,US
46,3/27/2018 0:00,111-2469627-1097854,111-2469627-1097854,20180321,2018-03-22T21:57:22+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17TFDH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Tiffany Blue,Majide-Juul-Tiffany-Blue,B07B17TFDH,Shipped,1,USD,9.99,NULL,NULL,NULL,Haledon,NJ,7508,US
47,3/27/2018 0:00,114-1366511-5267419,114-1366511-5267419,20180321,2018-03-23T01:21:50+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B173SNB,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Grey,Majide-Juul-Grey,B07B173SNB,Shipped,1,USD,9.99,NULL,NULL,NULL,VAIL,CO,81657-4002,US
48,3/27/2018 0:00,114-1366511-5267419,114-1366511-5267419,20180321,2018-03-23T01:21:50+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17TFDH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Tiffany Blue,Majide-Juul-Tiffany-Blue,B07B17TFDH,Shipped,1,USD,9.99,NULL,NULL,NULL,VAIL,CO,81657-4002,US
49,3/27/2018 0:00,111-8501116-0119450,111-8501116-0119450,20180321,2018-03-23T15:43:21+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KWQH2,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - White,Majide-Juul-Pure-White,B07B1KWQH2,Shipped,1,USD,9.99,NULL,NULL,NULL,NEWARK,DE,19711-7003,US
50,3/27/2018 0:00,112-0082724-2539425,112-0082724-2539425,20180321,2018-03-24T03:42:14+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17JJZR,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Orange,Majide-Juul-Orange,B07B17JJZR,Shipped,1,USD,9.99,NULL,NULL,NULL,KANSAS CITY,MO,64110-3041,US
51,3/27/2018 0:00,112-9324540-8744226,112-9324540-8744226,20180321,2018-03-22T09:37:09+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17TFDH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Tiffany Blue,Majide-Juul-Tiffany-Blue,B07B17TFDH,Shipped,1,USD,9.99,NULL,NULL,NULL,MANASSAS,VA,20110-5671,US
52,3/27/2018 0:00,111-2355616-1605047,111-2355616-1605047,20180321,2018-03-22T07:52:40+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,2,USD,19.98,NULL,NULL,NULL,IOWA CITY,IA,52240-5240,US
53,3/27/2018 0:00,111-6283347-9518615,111-6283347-9518615,20180321,2018-03-23T02:43:47+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KWQH2,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - White,Majide-Juul-Pure-White,B07B1KWQH2,Shipped,1,USD,9.99,NULL,NULL,NULL,SOUTH HEMPSTEAD,NY,11550,US
54,3/27/2018 0:00,111-6283347-9518615,111-6283347-9518615,20180321,2018-03-23T02:43:47+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B173SNB,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Grey,Majide-Juul-Grey,B07B173SNB,Shipped,1,USD,9.99,NULL,NULL,NULL,SOUTH HEMPSTEAD,NY,11550,US
55,3/27/2018 0:00,111-5451883-8561063,111-5451883-8561063,20180321,2018-03-22T23:16:49+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,Expedited,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Shipped,1,USD,9.99,NULL,3.99,NULL,fort lee,NJ,7024,US
56,3/27/2018 0:00,112-9053044-6759468,112-9053044-6759468,20180321,2018-03-21T19:44:44+00:00,Cancelled,Amazon,Amazon.com,amazon.com/dp/B07B1L7YSW,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Blue,Majide-Juul-Blue,B07B1L7YSW,Cancelled,0,NULL,NULL,NULL,NULL,NULL,San Jose,CA,95126,US
57,3/27/2018 0:00,111-3085724-4023420,111-3085724-4023420,20180321,2018-03-24T17:58:47+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KWQH2,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - White,Majide-Juul-Pure-White,B07B1KWQH2,Shipped,1,USD,9.99,NULL,NULL,NULL,FREDONIA,NY,14063-1105,US
58,3/27/2018 0:00,112-1415901-6254632,112-1415901-6254632,20180321,2018-03-22T19:35:57+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B17JJZR,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Orange,Majide-Juul-Orange,B07B17JJZR,Shipped,1,USD,9.99,NULL,NULL,NULL,LA MESA,CA,91942-2718,US
59,3/27/2018 0:00,111-3765176-2429835,111-3765176-2429835,20180321,2018-03-22T09:02:03+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KWQH2,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - White,Majide-Juul-Pure-White,B07B1KWQH2,Shipped,1,USD,9.99,NULL,NULL,NULL,CEDAR FALLS,IA,50613-3817,US
60,3/27/2018 0:00,114-0851938-1713818,114-0851938-1713818,20180321,2018-03-22T22:55:50+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1KND2Z,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Black,Majide-Juul-Black,B07B1KND2Z,Shipped,1,USD,9.99,NULL,NULL,NULL,VINELAND,NJ,08361-7933,US
